001Abbot                                  ,140Monk,
002Admiral                                ,146Noble Lord,175Sea Captain,
003Agent of the Shroud                    ,020Barber-Surgeon,072Fieldwarden,106Initiate,194Student,202Tomb Robber,
005Ambassador                             ,034Captain,146Noble Lord,105Ice Witch,
007Animal Trainer                         ,022Bear Tamer,061Entertainer,069Farmer,103Hunter,141Muleskinner,151Peasant,165Rat Catcher,
008Anointed Priest                        ,159Priest,
012Artillerist                            ,060Engineer,177Sergeant,
013Artisan                                ,036Cartographer,137Militiaman,203Tradesman,231Freeholder,
014Assassin                               ,056Duellist,187Spy,197Targeteer,
015Astrologer                             ,009Apothecary,054Dilettante,145Noble,194Student,
016Ataman                                 ,145Noble,
018Badlands Ranger                        ,067Explorer,173Scout,
021Battle Pilgrim                         ,083Grail Pilgrim,
023Black Guard                            ,188Squire,
024Bladesinger                            ,213Wardancer,
028Border Courtier                        ,145Noble,
033Cantor                                 ,061Entertainer,106Initiate,140Monk,
034Captain                                ,067Explorer,116Knight,177Sergeant,
037Cat Burglar                            ,027Bone Picker,044Chimneysweep,064Ex-Convict,085Grave Robber,165Rat Catcher,199Thief,
038Catechist                              ,054Dilettante,174Scribe,194Student,227Zealot,
040Champion                               ,056Duellist,197Targeteer,210Veteran,
042Charlatan                              ,004Agitator,032Camp Follower,054Dilettante,061Entertainer,062Envoy,064Ex-Convict,139Minstrel,168Rogue,183Smuggler,199Thief,236Seer,
045Cloaked Brother                        ,047Courtier,053Demagogue,077Friar,157Politician,173Scout,187Spy,210Veteran,
047Courtier                               ,054Dilettante,145Noble,
048Crime Lord                             ,037Cat Burglar,053Demagogue,70Fence,157Politician,191Steward,
049Crusader                               ,116Knight,177Sergeant,210Veteran,
050Cult Attendant                         ,106Initiate,136Messenger,207Valet,
051Daemon Slayer                          ,081Giant Slayer,
053Demagogue                              ,004Agitator,106Initiate,147Outlaw,168Rogue,
056Duellist                               ,063Estalian Diestro,160Protagonist,
